行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
松山區,12.8,61.99,40.77291115,5,7,0,2,2,1,1,無,2019/10/12,121.561431,25.058249,1530
大安區,20.02,105.13,34.40180154,5,7,0,3,2,2,1,無,2019/10/16,121.542762,25.026206,2890
大安區,15.78,128.91,37.5503946,13,14,0,3,2,2,1,無,2019/9/16,121.561488,25.037549,3500
大安區,36.92,138.13,32.18957268,2,5,0,4,2,2,0,無,2019/10/14,121.551786,25.044086,2730
文山區,17.21,107.92,35.00414108,1,10,1,2,2,2,1,無,2019/10/8,121.538744,25.004389,1980
大安區,15.83,64.3,48.42536123,5,5,0,3,2,1,0,無,2019/9/29,121.520401,25.029797,1720
大安區,48,136.98,51.21255057,2,4,0,5,2,2,0,無,2019/10/16,121.537195,25.034625,3336
松山區,5.55,54.39,30.2812515,12,12,0,2,1,1,1,無,2019/10/2,121.565404,25.051358,920
信義區,13.77,65.75,21.79373978,13,14,0,4,2,2,1,無,2019/9/12,121.561529,25.039189,1100
大安區,36.39,140.55,19.91279766,3,6,0,3,2,1,1,升降機械,2019/10/18,121.530988,25.030932,3868
文山區,35.06,116.62,36.97543413,2,5,0,3,2,2,0,無,2019/10/10,121.554543,25.000784,1318
大安區,3.95,42.49,37.39980972,11,12,0,1,1,1,1,無,2019/10/12,121.543582,25.033312,1080
大安區,13.56,133.33,34.51405573,7,19,0,3,2,2,1,無,2019/10/22,121.548679,25.033202,2860
信義區,18.71,158.02,22.60689816,10,11,0,2,2,2,1,坡道平面,2019/10/22,121.567122,25.045724,3250
信義區,13.56,136.12,38.42652484,12,12,1,3,2,2,1,無,2019/8/28,121.567122,25.045724,2650
松山區,4.39,50.34,33.70911107,6,12,1,0,0,1,1,無,2019/10/1,121.546869,25.048217,1218
文山區,73.51,128.67,23.08876979,5,17,0,3,2,2,1,坡道機械,2019/10/28,121.564429,24.991365,1630
文山區,57.33,208.53,8.605241723,10,19,0,4,2,2,1,坡道機械,2019/9/23,121.57458,24.998155,3358
文山區,21.38,45.78,13.21040131,3,5,0,1,1,1,1,無,2019/10/9,121.583989,24.986504,770
文山區,24.63,144.5,24.04703724,11,13,0,3,2,2,1,坡道平面,2019/9/7,121.563125,24.988281,1800
文山區,29.48,105.69,39.53811509,2,5,0,4,0,3,0,無,2019/8/16,121.557274,24.998958,1438
文山區,26.57,130,1.004811872,4,10,0,2,2,1,1,坡道機械,2019/10/28,121.556359,25.004808,2318
文山區,43.69,320.1,8.476560094,6,11,0,3,2,2,1,坡道平面,2019/10/20,121.586587,24.985647,4375
文山區,29.67,118.64,36.30464691,3,5,0,3,2,2,0,無,2019/9/26,121.57121,24.985505,1630
文山區,35.48,97.98,39.33550997,2,4,0,2,2,2,0,無,2019/8/30,121.561169,24.985474,1000
松山區,4.42,54.84,10.5518936,17,18,0,1,1,1,1,無,2019/10/19,121.565404,25.051358,1326
松山區,26.2,103.52,36.69342971,1,5,0,3,1,2,0,無,2019/9/27,121.556457,25.052701,2645
松山區,10.69,147.71,29.67891196,12,19,0,3,2,2,1,坡道平面,2019/10/22,121.565404,25.051358,2910
松山區,23.83,131.07,26.59876657,3,12,0,3,2,2,1,其他,2019/10/28,121.56221,25.055541,2660
松山區,6.42,69.77,28.89587055,5,10,1,2,1,1,1,無,2019/10/29,121.56728,25.054305,1355
松山區,22.48,89.74,27.03409379,2,7,0,3,2,1,1,無,2019/10/21,121.5659,25.056716,970
松山區,40,108.69,49.41374566,3,4,0,3,2,2,0,無,2019/9/26,121.567835,25.062599,1908
信義區,9.96,44.08,10.08371151,2,7,0,1,1,1,1,無,2019/9/10,121.568555,25.041911,1199
大安區,22,59.75,51.13588917,3,4,0,2,2,1,0,無,2019/9/17,121.551971,25.022494,1105
大安區,35.2,165.28,36.67974017,6,7,0,3,2,2,1,無,2019/10/25,121.548076,25.023888,4150
大安區,36.24,186.52,34.24026503,5,6,0,4,2,2,1,坡道平面,2019/10/1,121.545849,25.029833,4800
大安區,5.35,56.63,37.24374902,10,12,0,2,2,1,1,無,2019/10/10,121.525927,25.026778,1585
信義區,7.22,46.34,12.75590875,14,19,0,1,1,1,1,無,2019/10/1,121.574568,25.033567,1238
信義區,29.6,103.02,40.23901928,4,5,0,3,2,2,0,無,2019/8/24,121.571836,25.044705,2050
松山區,14.02,65.76,27.59536472,5,7,0,2,1,1,1,無,2019/10/13,121.56221,25.055541,1505
大安區,25.33,129.9,34.40453945,19,19,0,3,2,2,1,無,2019/10/17,121.545024,25.026663,2680
大安區,26.25,139.69,35.64481132,6,7,0,3,2,2,1,無,2019/10/9,121.546043,25.043499,3380
大安區,29,147.79,35.86384388,4,7,0,5,2,2,1,無,2019/10/6,121.55144,25.027011,3280
文山區,131.31,261.28,16.02770762,7,11,0,5,3,2,1,坡道平面,2019/10/2,121.561651,25.008664,3120
大安區,21.66,118.01,32.46610129,7,14,0,3,2,2,1,無,2019/10/10,121.532858,25.0423,2650
大安區,14.95,150.22,34.56333806,9,12,0,4,2,2,1,無,2019/8/10,121.525927,25.026778,4300
信義區,154.29,719.66,8.802371027,11,17,0,4,2,5,1,坡道平面,2019/11/1,121.574082,25.037729,41021
信義區,13.4,62.19,36.26631621,5,5,0,2,1,1,0,無,2019/10/2,121.564369,25.022549,950
信義區,6.3,54.38,13.22409084,9,13,1,1,2,1,1,無,2019/10/23,121.567122,25.045724,1655
